time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
780;0.427885;5.5795;362.873;0.570396;0.33964;487.31;857.101;
790;0.428493;5.31551;364.412;0.569598;0.321588;487.806;858.854;
800;0.4291;5.0636;365.894;0.56881;0.304475;488.238;860.498;
810;0.429706;4.82326;367.322;0.568032;0.288255;488.61;862.041;
820;0.430311;4.59401;368.698;0.567263;0.272882;488.924;863.487;
830;0.430916;4.37536;370.027;0.566503;0.258316;489.185;864.843;
840;0.431521;4.16687;371.31;0.565751;0.244514;489.396;866.115;
850;0.432126;3.96809;372.55;0.565007;0.231438;489.56;867.307;
860;0.43273;3.77858;373.751;0.564271;0.219052;489.679;868.425;
870;0.433334;3.59795;374.913;0.563541;0.20732;489.758;869.473;
880;0.433938;3.4258;376.039;0.562817;0.196208;489.797;870.455;
890;0.434543;3.26174;377.133;0.5621;0.185685;489.799;871.376;
900;0.435147;3.10541;378.194;0.561388;0.175721;489.768;872.239;
910;0.435752;2.95647;379.226;0.560681;0.166285;489.704;873.049;
920;0.436356;2.81457;380.23;0.55998;0.157351;489.61;873.808;
930;0.436961;2.6794;381.207;0.559283;0.148893;489.489;874.52;
940;0.437566;2.55064;382.16;0.55859;0.140886;489.34;875.188;
950;0.438172;2.428;383.09;0.557902;0.133306;489.167;875.815;
960;0.438778;2.3112;383.998;0.557217;0.126131;488.971;876.403;
970;0.439384;2.19997;384.886;0.556536;0.119339;488.753;876.954;
980;0.439991;2.09404;385.754;0.555858;0.112911;488.515;877.472;
990;0.440598;1.99318;386.604;0.555183;0.106827;488.258;877.958;
1000;0.441205;1.89713;387.438;0.554512;0.101069;487.982;878.414;
1010;0.441813;1.80569;388.255;0.553843;0.0956194;487.691;878.842;
1020;0.442421;1.71862;389.057;0.553176;0.0904622;487.383;879.245;
1030;0.44303;1.63573;389.846;0.552513;0.085582;487.061;879.623;
1040;0.443639;1.55681;390.621;0.551851;0.0809638;486.725;879.978;
1050;0.444249;1.48169;391.383;0.551192;0.0765938;486.376;880.313;
1060;0.444859;1.41017;392.134;0.550534;0.0724588;486.015;880.627;
1070;0.44547;1.34209;392.874;0.549879;0.0685461;485.642;880.923;
1080;0.446081;1.27729;393.604;0.549225;0.064844;485.259;881.201;
1090;0.446692;1.2156;394.324;0.548573;0.0613413;484.866;881.463;
1100;0.447304;1.15689;395.035;0.547923;0.0580271;484.464;881.709;
1110;0.447917;1.101;395.738;0.547274;0.0548915;484.053;881.942;
1120;0.44853;1.04781;396.432;0.546627;0.0519249;483.634;882.161;
1130;0.449143;0.997181;397.119;0.54598;0.0491181;483.207;882.367;
1140;0.449757;0.948993;397.799;0.545335;0.0464628;482.773;882.562;
1150;0.450371;0.903131;398.472;0.544691;0.0439506;482.332;882.746;
1160;0.450985;0.859481;399.139;0.544049;0.041574;481.885;882.92;
1170;0.4516;0.817938;399.8;0.543407;0.0393257;481.431;883.084;
1180;0.452215;0.778401;400.456;0.542766;0.0371987;480.973;883.239;
1190;0.452831;0.740773;401.106;0.542126;0.0351865;480.509;883.385;
1200;0.453447;0.704963;401.751;0.541487;0.033283;480.04;883.524;
1210;0.454063;0.670883;402.392;0.540849;0.0314823;479.566;883.656;
1220;0.45468;0.638449;403.029;0.540211;0.0297789;479.088;883.78;
1230;0.455297;0.607583;403.661;0.539575;0.0281675;478.606;883.898;
1240;0.455915;0.578209;404.29;0.538938;0.0266432;478.121;884.01;
1250;0.456532;0.550255;404.915;0.538303;0.0252013;477.631;884.116;
1260;0.45715;0.523652;405.536;0.537668;0.0238373;477.139;884.217;
1270;0.457769;0.498336;406.155;0.537034;0.022547;476.643;884.313;
1280;0.458387;0.474243;406.77;0.5364;0.0213265;476.144;884.405;
1290;0.459006;0.451316;407.383;0.535766;0.020172;475.642;884.491;
1300;0.459625;0.429498;407.993;0.535133;0.0190799;475.138;884.574;
1310;0.460244;0.408735;408.6;0.534501;0.0180469;474.631;884.653;
1320;0.460864;0.388976;409.205;0.533869;0.0170698;474.122;884.728;
1330;0.461484;0.370173;409.808;0.533237;0.0161456;473.611;884.8;
1340;0.462104;0.352279;410.409;0.532606;0.0152713;473.098;884.869;
1350;0.462724;0.335252;411.008;0.531975;0.0144443;472.583;884.935;
1360;0.463345;0.319047;411.604;0.531344;0.0136621;472.066;884.997;
1370;0.463965;0.303627;412.2;0.530714;0.0129222;471.547;885.058;
1380;0.464586;0.288953;412.793;0.530084;0.0122224;471.027;885.115;
1390;0.465207;0.274988;413.385;0.529454;0.0115604;470.505;885.171;
1400;0.465829;0.261699;413.975;0.528825;0.0109343;469.981;885.224;
1410;0.46645;0.249053;414.564;0.528196;0.010342;469.457;885.275;
1420;0.467071;0.237019;415.152;0.527567;0.00978185;468.931;885.325;
1430;0.467693;0.225567;415.739;0.526938;0.00925199;468.404;885.372;
1440;0.468315;0.214668;416.324;0.52631;0.00875081;467.876;885.418;
1450;0.468937;0.204297;416.908;0.525681;0.00827677;467.347;885.462;
1460;0.469559;0.194428;417.491;0.525053;0.00782839;466.817;885.505;
1470;0.470181;0.185036;418.073;0.524425;0.0074043;466.285;885.546;
1480;0.470803;0.176098;418.655;0.523798;0.00700316;465.753;885.586;
1490;0.471426;0.167593;419.235;0.52317;0.00662375;465.221;885.625;
1500;0.472048;0.159499;419.815;0.522543;0.00626488;464.687;885.662;
1510;0.472671;0.151796;420.393;0.521916;0.00592545;464.153;885.698;
1520;0.473293;0.144466;420.971;0.521288;0.0056044;463.618;885.734;
1530;0.473916;0.13749;421.548;0.520662;0.00530074;463.082;885.768;
1540;0.474539;0.130852;422.125;0.520035;0.00501352;462.546;885.801;
1550;0.475161;0.124534;422.701;0.519408;0.00474186;462.009;885.834;
1560;0.475784;0.118522;423.276;0.518782;0.00448492;461.472;885.866;
1570;0.476407;0.112801;423.851;0.518155;0.00424189;460.934;885.897;
1580;0.47703;0.107356;424.425;0.517529;0.00401203;460.396;885.927;
1590;0.477653;0.102175;424.999;0.516903;0.00379462;459.857;885.956;
1600;0.478276;0.0972439;425.572;0.516277;0.00358898;459.318;885.985;
1610;0.478899;0.0925512;426.145;0.515651;0.00339449;458.778;886.014;
1620;0.479523;0.0880853;426.717;0.515026;0.00321053;458.238;886.041;
1630;0.480146;0.0838352;427.289;0.5144;0.00303654;457.698;886.069;
1640;0.480769;0.0797905;427.86;0.513775;0.00287197;457.158;886.095;
1650;0.481392;0.0759413;428.431;0.513149;0.00271633;456.617;886.121;
1660;0.482015;0.0722781;429.002;0.512524;0.00256911;456.076;886.147;
1670;0.482638;0.0687918;429.572;0.511899;0.00242987;455.534;886.172;
1680;0.483261;0.065474;430.142;0.511274;0.00229817;454.992;886.197;
1690;0.483885;0.0623164;430.712;0.510649;0.00217361;454.451;886.222;
1700;0.484508;0.0593114;431.281;0.510024;0.0020558;453.908;886.246;
1710;0.485131;0.0564515;431.85;0.509399;0.00194437;453.366;886.27;
1720;0.485754;0.0537298;432.419;0.508775;0.00183898;452.824;886.293;
1730;0.486377;0.0511395;432.988;0.50815;0.0017393;452.281;886.316;
1740;0.487;0.0486742;433.556;0.507526;0.00164503;451.738;886.339;
1750;0.487623;0.046328;434.124;0.506901;0.00155586;451.195;886.362;
1760;0.488246;0.0440951;434.692;0.506277;0.00147152;450.652;886.384;
1770;0.488869;0.04197;435.259;0.505653;0.00139176;450.109;886.406;
1780;0.489492;0.0399475;435.827;0.505029;0.00131631;449.565;886.428;
1790;0.490115;0.0380226;436.394;0.504405;0.00124496;449.022;886.449;
1800;0.490737;0.0361907;436.96;0.503781;0.00117747;448.478;886.471;
1810;0.49136;0.0344471;437.527;0.503158;0.00111364;447.935;886.492;
1820;0.491983;0.0327877;438.094;0.502534;0.00105327;447.391;886.513;
1830;0.492606;0.0312083;438.66;0.501911;0.000996168;446.847;886.534;
1840;0.493228;0.0297052;439.226;0.501287;0.000942164;446.303;886.555;
1850;0.493851;0.0282746;439.792;0.500664;0.000891086;445.76;886.575;
